,Unnamed: 0,Path,EmbryoID,Line,Date,RNAi
141,141,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/210722_lp637_tom4,15,60/00",1626965652,lp637,210722,wt
368,368,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/220805_lp637_tom4,15,60/00",1659695815,lp637,220805,wt
395,395,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/220823_lp637_tom4,15,60/06",1661259794,lp637,220823,wt
156,156,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg325_tom4,15,60/00",1636207243,lp637,211106,wt
192,192,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg325_tom4,15,60/01",1636725257,lp637,211112,wt
125,125,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/210428_lp637_tom4,15,60/16",1619616861,lp637,210428,wt
399,399,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/220823_lp637_tom4,15,60/10",1661260543,lp637,220823,wt
375,375,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/220805_lp637_tom4,15,60/05",1659702640,lp637,220805,wt
398,398,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/220823_lp637_tom4,15,60/09",1661260423,lp637,220823,wt
158,158,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg325_tom4,15,60/02",1636207547,lp637,211106,wt
121,121,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/210428_nwg240_tom4,15,60/07",1619614724,nwg240,210428,wt
438,438,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/220823_nwg240_tom4,15,60/36",1661273972,nwg240,220823,wt
215,215,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg240_tom4,15,60/02",1636733482,nwg240,211112,wt
444,444,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/220824_nwg240_tom4,15,60/23",1661345808,nwg240,220824,wt
162,162,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg240_tom4,15,60/01",1636208584,nwg240,211106,wt
119,119,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/210428_nwg240_tom4,15,60/05",1619614395,nwg240,210428,wt
120,120,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/210428_nwg240_tom4,15,60/06",1619614611,nwg240,210428,wt
214,214,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg240_tom4,15,60/01",1636733417,nwg240,211112,wt
123,123,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/210428_nwg240_tom4,15,60/09",1619615013,nwg240,210428,wt
163,163,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg240_tom4,15,60/02",1636209010,nwg240,211106,wt
393,393,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/220823_nwg338_tom4,15,60/05",1661258965,nwg338,220823,wt
391,391,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/220823_nwg338_tom4,15,60/03",1661258538,nwg338,220823,wt
117,117,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/210428_nwg338_tom4,15,60/04",1619613498,nwg338,210428,wt
116,116,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/210428_nwg338_tom4,15,60/03",1619613298,nwg338,210428,wt
115,115,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/210428_nwg338_tom4,15,60/02",1619613192,nwg338,210428,wt
169,169,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg338_tom4,15,60/03",1636210034,nwg338,211106,wt
392,392,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/220823_nwg338_tom4,15,60/04",1661258718,nwg338,220823,wt
422,422,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/220823_nwg338_tom4,15,60/25",1661267862,nwg338,220823,wt
421,421,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/220823_nwg338_tom4,15,60/24",1661267550,nwg338,220823,wt
433,433,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/220823_nwg338_tom4,15,60/33",1661271947,nwg338,220823,wt
175,175,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg400_tom4,15,60/04",1636211352,nwg400,211106,wt
174,174,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg400_tom4,15,60/03",1636211058,nwg400,211106,wt
150,150,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/210917_nwg400_tom4,15,60/00",1631869475,nwg400,210917,wt
200,200,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg400_tom4,15,60/03",1636728279,nwg400,211112,wt
198,198,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg400_tom4,15,60/00",1636727165,nwg400,211112,wt
152,152,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/210917_nwg400_tom4,15,60/03",1631869867,nwg400,210917,wt
173,173,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg400_tom4,15,60/02",1636210900,nwg400,211106,wt
172,172,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg400_tom4,15,60/01",1636210841,nwg400,211106,wt
201,201,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg400_tom4,15,60/04",1636728556,nwg400,211112,wt
199,199,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg400_tom4,15,60/01",1636727593,nwg400,211112,wt
216,216,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg325bal_tom4,15,60/03",1636734164,nwg325bal,211112,wt
219,219,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg325bal_tom4,15,60/06",1636734428,nwg325bal,211112,wt
221,221,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg325bal_tom4,15,60/08",1636734568,nwg325bal,211112,wt
188,188,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg325bal_tom4,15,60/02",1636217133,nwg325bal,211106,wt
220,220,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg325bal_tom4,15,60/07",1636734504,nwg325bal,211112,wt
190,190,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg325bal_tom4,15,60/04",1636217336,nwg325bal,211106,wt
187,187,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg325bal_tom4,15,60/01",1636216527,nwg325bal,211106,wt
217,217,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg325bal_tom4,15,60/04",1636734321,nwg325bal,211112,wt
189,189,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211106_nwg325bal_tom4,15,60/03",1636217193,nwg325bal,211106,wt
218,218,"/Users/blandt/Desktop/PaperData//Imaging/PAR-2 NEBD/211112_nwg325bal_tom4,15,60/05",1636734403,nwg325bal,211112,wt
